AA_MAXRMS,AA_NumberofsamplesaboveRMSTH,AA_LogicalIgnition,InstallStationId,AfterCrashStoppingStatus3,VehicleManu,VehicleModel,MokedStatusDesc,IMPACTX,IMPACTY,IMPACTZ,ORX,ORY,ORZ,Speed,XaxisEnabled,YaxisEnabled,ZaxisEnabled,IMPACTXYZAvg,MaxIMPACTAxis,vtype
2.921,1,1,0,1,Renault,Captur,no_answer,-0.08400001,1.032,2.92,-0.004,-0.808,-0.724,0,1,0,1,6,Z,Private                                 
2.44125,1,1,0,1,Nissan,X-trail,no_answer,-0.748,2.324,0.292,0.02,-0.204,-1,0,1,1,0,5,Y,CrossOver                               
3.098,3,1,0,1,Hyundai,IoniQ,false_alarm,-0.296,-0.296,3.084,-0.08800001,-0.952,0.324,4,1,0,1,5,Z,Private                                 
3.098,3,1,0,1,Hyundai,IoniQ,false_alarm,-0.296,-0.296,3.084,-0.08800001,-0.952,0.324,4,1,0,1,5,Z,Private                                 
2.5085,4,1,0,1,Dacia,Sandero Stepway,false_alarm,-1.168,2.22,-1.828,0.196,0.044,-1.008,3,1,1,0,7,Y,Private                                 
2.3315,1,1,0,1,Nissan,X-trail,false_alarm,0.192,2.144,0.896,-0.2,-0.028,-0.952,0,1,1,1,5,Y,CrossOver                               
4.564,5,1,0,1,Hyundai,IoniQ,accident,-4.56,0.196,-0.036,-0.32,-0.036,-0.988,1,1,1,0,6,X,Private                                 
2.06875,1,1,0,1,Nissan,Qashqai,false_alarm,-1.668,1.224,-0.62,-0.028,-0.368,-0.96,4,1,1,0,5,X,CrossOver                               
5.1985,3,0,0,1,Citroen,Berlingo,false_alarm,-0.44,2.716,-5.18,-0.08800001,-0.86,-0.564,0,1,0,1,10,Z,Commercial                              
2.48425,3,1,0,1,Citroen,Berlingo,false_alarm,0.148,0.08000001,2.48,0.044,-0.896,-0.448,2,1,0,1,4,Z,Commercial                              
5.8965,5,1,0,1,Hyundai,Santa Fe,false_alarm,1.416,5.724,-2.128,-0.056,0.052,-1.056,2,1,1,0,11,Y,CrossOver                               
4.46625,3,1,0,1,Hyundai,I20,bumper,2.46,3.728,-1.592,-0.268,0.192,-0.9680001,1,1,1,0,9,Y,Private                                 
2.8,1,0,0,1,Nissan,Qashqai,false_alarm,2.8,-0.008,0.064,0.012,-0.432,-0.904,1,1,1,0,4,X,CrossOver                               
2.69725,1,1,0,1,Dacia,Sandero Stepway,false_alarm,0.268,-2.684,-2.864,0.12,-0.156,-1.012,1,1,1,0,7,Z,Private                                 
5.952,1,0,0,1,Peugeot,2008EV,false_alarm,0.004,-5.952,0.04,0.188,-0.008,-1.044,1,1,1,0,7,Y,CrossOver                               
2.53575,2,1,0,1,Nissan,Juke,false_alarm,-1.24,0.124,2.212,-0.1,0.98,0.352,4,1,0,1,5,Z,CrossOver                               
3.63325,3,1,0,1,Renault,Captur,false_alarm,-1.984,-0.724,-3.044,-0.004,-0.78,-0.688,4,1,0,1,7,Z,Private                                 
4.9575,3,1,0,1,Hyundai,IoniQ,false_alarm,-0.896,-0.012,4.876,-0.144,-0.932,0.324,5,1,0,1,7,Z,Private                                 
2.56275,3,1,0,1,Hyundai,IoniQ,false_alarm,2.508,-0.528,-0.596,-0.348,-0.032,-0.9720001,5,1,1,0,5,X,Private                                 
7.052001,1,0,0,1,MG,ZS EV,false_alarm,7.052001,-0.012,0.056,-0.004,0.364,-1.04,1,1,1,0,9,X,CrossOver                               
4.91925,3,1,0,1,Hyundai,I20,garage,4.392,2.216,-2.776,-0.264,0.168,-0.9680001,0,1,1,0,11,X,Private                                 
-8.1885,7,0,0,1,Jeep,Wrangler,no_answer,-0.5840001,0.6720001,8.168,-0.952,0,-0.04,2,0,1,1,11,Z,Full Size/Luxury Crossover              
2.062,1,1,0,1,Renault,Grand Coupe,false_alarm,0.204,-2.052,-0.296,0.008,-0.08000001,-0.988,4,1,1,0,4,Y,Private                                 
2.111,1,1,0,1,MG,ZS EV,false_alarm,-0.7640001,-1.968,-1.24,0.048,-0.244,-1.048,1,1,1,0,5,Y,CrossOver                               
4.368,5,1,0,1,Citroen,C3,bumper,-0.768,-4.3,4.416,-0.032,0.028,-1.024,3,1,1,0,11,Z,Private                                 
2.0755,1,1,0,1,Nissan,X-trail,false_alarm,-0.312,-2.052,-0.9160001,-0.2,-0.028,-0.952,0,1,1,0,5,Y,CrossOver                               
2.76425,3,1,0,1,Hyundai,Tucson,sidewalk,2.5,-4.792,-1.18,0.044,-1,-0.052,2,1,0,1,10,Y,CrossOver                               
2.11,1,1,0,1,Renault,Grand Coupe,false_alarm,-0.244,2.096,0.368,-0.04,0.036,-1.012,4,1,1,0,4,Y,Private                                 
2.068,1,0,0,1,Nissan,Juke,false_alarm,0.032,-0.008,-2.068,-0.036,0.9680001,-0.012,0,1,0,1,4,Z,CrossOver                               
2.38075,1,1,0,1,Dacia,Duster,no_answer,-0.068,-2.38,-0.7360001,-0.228,0.564,-0.808,4,1,1,0,5,Y,CrossOver                               
